cell_id,POS,unimorph
ARGNO1.ARGNOSG.present-indicative,V,ARGNO1S;IND;PRS
ARGNO2.ARGNOSG.present-indicative,V,ARGNO2S;IND;PRS
ARGNO3.ARGNOSG.present-indicative,V,ARGNO3S;IND;PRS
ARGNO1.ARGNOPL.present-indicative,V,ARGNO1P;IND;PRS
ARGNO2.ARGNOPL.present-indicative,V,ARGNO2P;IND;PRS
ARGNO3.ARGNOPL.present-indicative,V,ARGNO3P;IND;PRS
ARGNO1.ARGNOSG.future,V,ARGNO1S;IND;FUT
ARGNO2.ARGNOSG.future,V,ARGNO2S;IND;FUT
ARGNO3.ARGNOSG.future,V,ARGNO3S;IND;FUT
ARGNO1.ARGNOPL.future,V,ARGNO1P;IND;FUT
ARGNO2.ARGNOPL.future,V,ARGNO2P;IND;FUT
ARGNO3.ARGNOPL.future,V,ARGNO3P;IND;FUT
ARGNO1.ARGNOSG.conditional,V,ARGNO1S;COND
ARGNO2.ARGNOSG.conditional,V,ARGNO2S;COND
ARGNO3.ARGNOSG.conditional,V,ARGNO3S;COND
ARGNO1.ARGNOPL.conditional,V,ARGNO1P;COND
ARGNO2.ARGNOPL.conditional,V,ARGNO2P;COND
ARGNO3.ARGNOPL.conditional,V,ARGNO3P;COND
ARGNO1.ARGNOSG.SBJV.FUT,V,ARGNO1S;SBJV;FUT
ARGNO2.ARGNOSG.SBJV.FUT,V,ARGNO2S;SBJV;FUT
ARGNO3.ARGNOSG.SBJV.FUT,V,ARGNO3S;SBJV;FUT
ARGNO1.ARGNOPL.SBJV.FUT,V,ARGNO1P;SBJV;FUT
ARGNO2.ARGNOPL.SBJV.FUT,V,ARGNO2P;SBJV;FUT
ARGNO3.ARGNOPL.SBJV.FUT,V,ARGNO3P;SBJV;FUT
ARGNO1.ARGNOSG.aorist,V,ARGNO1S;IND;PST;PFV
ARGNO2.ARGNOSG.aorist,V,ARGNO2S;IND;PST;PFV
ARGNO3.ARGNOSG.aorist,V,ARGNO3S;IND;PST;PFV
ARGNO1.ARGNOPL.aorist,V,ARGNO1P;IND;PST;PFV
ARGNO2.ARGNOPL.aorist,V,ARGNO2P;IND;PST;PFV
ARGNO3.ARGNOPL.aorist,V,ARGNO3P;IND;PST;PFV
ARGNO1.ARGNOSG.optative,V,ARGNO1S;OPT
ARGNO2.ARGNOSG.optative,V,ARGNO2S;OPT
ARGNO3.ARGNOSG.optative,V,ARGNO3S;OPT
ARGNO1.ARGNOPL.optative,V,ARGNO1P;OPT
ARGNO2.ARGNOPL.optative,V,ARGNO2P;OPT
ARGNO3.ARGNOPL.optative,V,ARGNO3P;OPT
ARGNO1.ARGNOSG.present-perfect,V,ARGNO1S;IND;PRF
ARGNO2.ARGNOSG.present-perfect,V,ARGNO2S;IND;PRF
ARGNO3.ARGNOSG.present-perfect,V,ARGNO3S;IND;PRF
ARGNO1.ARGNOPL.present-perfect,V,ARGNO1P;IND;PRF
ARGNO2.ARGNOPL.present-perfect,V,ARGNO2P;IND;PRF
ARGNO3.ARGNOPL.present-perfect,V,ARGNO3P;IND;PRF
ARGNO1.ARGNOSG.pluperfect,V,ARGNO1S;IND;PST;PRF
ARGNO2.ARGNOSG.pluperfect,V,ARGNO2S;IND;PST;PRF
ARGNO3.ARGNOSG.pluperfect,V,ARGNO3S;IND;PST;PRF
ARGNO1.ARGNOPL.pluperfect,V,ARGNO1P;IND;PST;PRF
ARGNO2.ARGNOPL.pluperfect,V,ARGNO2P;IND;PST;PRF
ARGNO3.ARGNOPL.pluperfect,V,ARGNO3P;IND;PST;PRF
ARGNO1.ARGNOSG.perfect subjunctive,V,ARGNO1S;SBJV;PRF
ARGNO2.ARGNOSG.perfect subjunctive,V,ARGNO2S;SBJV;PRF
ARGNO3.ARGNOSG.perfect subjunctive,V,ARGNO3S;SBJV;PRF
ARGNO1.ARGNOPL.perfect subjunctive,V,ARGNO1P;SBJV;PRF
ARGNO2.ARGNOPL.perfect subjunctive,V,ARGNO2P;SBJV;PRF
ARGNO3.ARGNOPL.perfect subjunctive,V,ARGNO3P;SBJV;PRF
